School_ID,Name_of_School,"Elementary,_Middle,_or_High_School",Safety_Score,Average_Student_Attendance,ISAT_Exceeding_Reading_Percent,Community_Area_Name,Community_Area_Number,Latitude,Longitude,Ward,Crime_Count
610038,Abraham Lincoln Elementary School,ES,99.0,96.0%,64.4,LINCOLN PARK,7,41.92449696,-87.64452163,43,4437
609926,Franklin Elementary Fine Arts Center,ES,87.0,95.9%,50.2,NEAR NORTH SIDE,8,41.90657253,-87.6355136,43,4437
610033,LaSalle Elementary Language Academy,ES,99.0,96.8%,49.5,LINCOLN PARK,7,41.9138823,-87.63760107,43,4437
610250,Rueben Salazar Elementary Bilingual Center,ES,64.0,95.1%,15.5,NEAR NORTH SIDE,8,41.90144445,-87.63373912,43,4437
610095,Walter L Newberry Math & Science Academy Elementary School,ES,71.0,95.1%,35.9,LINCOLN PARK,7,41.91397435,-87.64601501,43,4437
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,54.0,95.6%,16.5,SOUTH SHORE,43,41.76032435,-87.55673627,7,9866
609821,Burnham Elementary Inclusive Academy,ES,61.0,95.5%,22.0,SOUTH DEERING,51,41.72050221,-87.57759489,7,9866
609862,Edward Coles Elementary Language Academy,ES,22.0,95.1%,5.7,SOUTH CHICAGO,46,41.74142687,-87.56593332,7,9866
610280,Kate S Buckingham Special Education Center,ES,31.0,83.4%,0.0,CALUMET HEIGHTS,48,41.72782129,-87.56439326,7,9866
609806,Myra Bradwell Communications Arts & Sciences Elementary School,ES,31.0,92.1%,4.3,SOUTH SHORE,43,41.7543734,-87.55717881,7,9866
610045,Robert H Lawrence Elementary School,ES,19.0,90.7%,3.4,SOUTH DEERING,51,41.71440176,-87.56716721,7,9866
610002,Thomas Hoyne Elementary School,ES,67.0,94.8%,14.0,CALUMET HEIGHTS,48,41.73330693,-87.5681905,7,9866
610185,Adlai E Stevenson Elementary School,ES,61.0,95.7%,15.5,ASHBURN,70,41.74711093,-87.73170248,13,4639
610006,Edward N Hurley Elementary School,ES,77.0,95.4%,11.7,WEST LAWN,65,41.7667583,-87.71950804,13,4639
610120,Ferdinand Peck Elementary School,ES,51.0,96.3%,13.8,WEST ELSDON,62,41.78792632,-87.71922211,13,4639
610117,Louis Pasteur Elementary School,ES,50.0,95.0%,13.7,WEST ELSDON,62,41.78688968,-87.73262962,13,4639
610544,Mariano Azuela Elementary School,ES,54.0,95.5%,11.9,WEST LAWN,65,41.77105158,-87.73992325,13,4639
610291,Richard Henry Lee Elementary School,ES,59.0,95.0%,7.6,WEST LAWN,65,41.77532831,-87.72892174,13,4639
609956,Robert L Grimes Elementary School,ES,79.0,95.2%,18.8,CLEARING,64,41.77549238,-87.75876919,13,4639
609993,Agustin Lara Elementary Academy,ES,56.0,95.5%,9.6,NEW CITY,61,41.8097569,-87.6721446,20,11923
609837,Andrew Carnegie Elementary School,ES,48.0,94.6%,20.4,WOODLAWN,42,41.78339577,-87.59079649,20,11923
610169,Austin O Sexton Elementary School,ES,23.0,90.5%,5.2,WOODLAWN,42,41.78517099,-87.60866927,20,11923
610150,Betsy Ross Elementary School,ES,39.0,88.9%,2.0,WASHINGTON PARK,40,41.78383382,-87.62365383,20,11923
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,54.0,95.1%,8.4,NEW CITY,61,41.80715514,-87.66600055,20,11923
609813,Charles S Brownell Elementary School,ES,20.0,92.8%,8.8,GREATER GRAND CROSSING,69,41.77163474,-87.62170972,20,11923
610065,Emmett Louis Till Math and Science Academy,ES,31.0,88.0%,3.5,WOODLAWN,42,41.77544062,-87.60932095,20,11923
609983,James Hedges Elementary School,ES,22.0,95.4%,6.8,NEW CITY,61,41.80713406,-87.67329121,20,11923
610173,Jesse Sherwood Elementary School,ES,38.0,92.0%,12.9,ENGLEWOOD,68,41.7907728,-87.6322812,20,11923
609919,John Fiske Elementary School,ES,13.0,92.9%,4.0,WOODLAWN,42,41.78290934,-87.60259685,20,11923
610263,John Foster Dulles Elementary School,ES,42.0,94.1%,3.8,GREATER GRAND CROSSING,69,41.779797,-87.61717494,20,11923
